DNAExtractionGroup	DNAExtractionBatch	SampleID	Donor	Condition	Replicate	TubePosition	DNAExtractionDate	PowerFecalLot	PowerFecalKit	DNAConcentration	X100ng.DNA	ExtractedBy	sample	Kit	Temperature
3	1	D09_ZR_R3	D09	ZR	R3	5	August 30, 2021	169031860	Kit 4	2.64	37.88	Dylan	D09.ZR.R3	Zymo	Room Temp
3	1	D03_OR_R3	D03	OR	R3	6	August 30, 2021	169031860	Kit 4	37.4	2.67	Dylan	D03.OR.R3	Omnigene	Room Temp
3	1	D01_ZR_R3	D01	ZR	R3	7	August 30, 2021	169031860	Kit 4	5	20	Dylan	D01.ZR.R3	Zymo	Room Temp
3	1	D07_OR_R3	D07	OR	R3	9	August 30, 2021	169031860	Kit 4	47.2	2.12	Dylan	D07.OR.R3	Omnigene	Room Temp
3	1	D04_ZF_R3	D04	ZF	R3	10	August 30, 2021	169031860	Kit 4	7.32	13.66	Dylan	D04.ZF.R3	Zymo	Frozen
3	1	D08_ZF_R3	D08	ZF	R3	11	August 30, 2021	169031860	Kit 4	5.76	17.36	Dylan	D08.ZF.R3	Zymo	Frozen
3	1	D10_NF_R3	D10	NF	R3	13	August 30, 2021	169031860	Kit 4	6.98	14.33	Dylan	D10.NF.R3	No Preservative	Frozen
3	1	D07_OF_R3	D07	OF	R3	14	August 30, 2021	169031860	Kit 4	8.88	11.26	Dylan	D07.OF.R3	Omnigene	Frozen
3	1	D06_NF_R3	D06	NF	R3	15	August 30, 2021	169031860	Kit 4	13.4	7.46	Dylan	D06.NF.R3	No Preservative	Frozen
3	1	D04_OH_R3	D04	OH	R3	16	August 30, 2021	169031860	Kit 4	16.5	6.06	Dylan	D04.OH.R3	Omnigene	Hot
3	1	D05_ZH_R3	D05	ZH	R3	17	August 30, 2021	169031860	Kit 4	7.2	13.89	Dylan	D05.ZH.R3	Zymo	Hot
3	1	D02_NF_R3	D02	NF	R3	18	August 30, 2021	169031860	Kit 4	143.2	0.7	Dylan	D02.NF.R3	No Preservative	Frozen
3	1	D09_ZH_R3	D09	ZH	R3	19	August 30, 2021	169031860	Kit 4	2.6	38.46	Dylan	D09.ZH.R3	Zymo	Hot
3	2	D02_ZH_R3	D02	ZH	R3	1	August 30, 2021	169031860	Kit 3	4.44	22.52	Dylan	D02.ZH.R3	Zymo	Hot
3	2	D08_OF_R3	D08	OF	R3	2	August 30, 2021	169031860	Kit 3	5.22	19.16	Dylan	D08.OF.R3	Omnigene	Frozen
3	2	D01_OH_R3	D01	OH	R3	3	August 30, 2021	169031860	Kit 3	4.64	21.55	Dylan	D01.OH.R3	Omnigene	Hot
3	2	D10_ZR_R3	D10	ZR	R3	4	August 30, 2021	169031860	Kit 3	2.1	47.62	Dylan	D10.ZR.R3	Zymo	Room Temp
